"uf","codigo_ibge","municipio","tipo","status"
"RO","1100015","Alta Floresta D'Oeste","brasao","revisao_pendente"
"RO","1100015","Alta Floresta D'Oeste","bandeira","revisao_pendente"
"RO","1100023","Ariquemes","brasao","revisao_pendente"
"RO","1100023","Ariquemes","bandeira","revisao_pendente"
"RO","1100031","Cabixi","brasao","revisao_pendente"
"RO","1100031","Cabixi","bandeira","nao_encontrado"
"RO","1100049","Cacoal","brasao","revisao_pendente"
"RO","1100049","Cacoal","bandeira","revisao_pendente"
"RO","1100056","Cerejeiras","brasao","revisao_pendente"
"RO","1100056","Cerejeiras","bandeira","revisao_pendente"
"RO","1100064","Colorado do Oeste","brasao","revisao_pendente"
"RO","1100064","Colorado do Oeste","bandeira","revisao_pendente"
"RO","1100072","Corumbiara","brasao","revisao_pendente"
"RO","1100072","Corumbiara","bandeira","revisao_pendente"
"RO","1100080","Costa Marques","brasao","revisao_pendente"
"RO","1100080","Costa Marques","bandeira","nao_encontrado"
"RO","1100098","Espigão D'Oeste","brasao","revisao_pendente"
"RO","1100098","Espigão D'Oeste","bandeira","revisao_pendente"
"RO","1100106","Guajará-Mirim","brasao","revisao_pendente"
"RO","1100106","Guajará-Mirim","bandeira","revisao_pendente"
"RO","1100114","Jaru","brasao","revisao_pendente"
"RO","1100114","Jaru","bandeira","revisao_pendente"
"RO","1100122","Ji-Paraná","brasao","revisao_pendente"
"RO","1100122","Ji-Paraná","bandeira","revisao_pendente"
"RO","1100130","Machadinho D'Oeste","brasao","revisao_pendente"
"RO","1100130","Machadinho D'Oeste","bandeira","revisao_pendente"
"RO","1100148","Nova Brasilândia D'Oeste","brasao","nao_encontrado"
"RO","1100148","Nova Brasilândia D'Oeste","bandeira","revisao_pendente"
"RO","1100155","Ouro Preto do Oeste","brasao","revisao_pendente"
"RO","1100155","Ouro Preto do Oeste","bandeira","revisao_pendente"
"RO","1100189","Pimenta Bueno","brasao","revisao_pendente"
"RO","1100189","Pimenta Bueno","bandeira","revisao_pendente"
"RO","1100205","Porto Velho","brasao","revisao_pendente"
"RO","1100205","Porto Velho","bandeira","revisao_pendente"
"RO","1100254","Presidente Médici","brasao","revisao_pendente"
"RO","1100254","Presidente Médici","bandeira","revisao_pendente"
"RO","1100262","Rio Crespo","brasao","nao_encontrado"
"RO","1100262","Rio Crespo","bandeira","revisao_pendente"
"RO","1100288","Rolim de Moura","brasao","revisao_pendente"
"RO","1100288","Rolim de Moura","bandeira","revisao_pendente"
"RO","1100296","Santa Luzia D'Oeste","brasao","revisao_pendente"
"RO","1100296","Santa Luzia D'Oeste","bandeira","revisao_pendente"
"RO","1100304","Vilhena","brasao","revisao_pendente"
"RO","1100304","Vilhena","bandeira","revisao_pendente"
"RO","1100320","São Miguel do Guaporé","brasao","revisao_pendente"
"RO","1100320","São Miguel do Guaporé","bandeira","revisao_pendente"
"RO","1100338","Nova Mamoré","brasao","revisao_pendente"
"RO","1100338","Nova Mamoré","bandeira","revisao_pendente"
"RO","1100346","Alvorada D'Oeste","brasao","revisao_pendente"
"RO","1100346","Alvorada D'Oeste","bandeira","revisao_pendente"
"RO","1100379","Alto Alegre dos Parecis","brasao","revisao_pendente"
"RO","1100379","Alto Alegre dos Parecis","bandeira","revisao_pendente"
"RO","1100403","Alto Paraíso","brasao","revisao_pendente"
"RO","1100403","Alto Paraíso","bandeira","revisao_pendente"
"RO","1100452","Buritis","brasao","revisao_pendente"
"RO","1100452","Buritis","bandeira","revisao_pendente"
"RO","1100502","Novo Horizonte do Oeste","brasao","nao_encontrado"
"RO","1100502","Novo Horizonte do Oeste","bandeira","revisao_pendente"
"RO","1100601","Cacaulândia","brasao","revisao_pendente"
"RO","1100601","Cacaulândia","bandeira","revisao_pendente"
"RO","1100700","Campo Novo de Rondônia","brasao","revisao_pendente"
"RO","1100700","Campo Novo de Rondônia","bandeira","revisao_pendente"
"RO","1100809","Candeias do Jamari","brasao","revisao_pendente"
"RO","1100809","Candeias do Jamari","bandeira","revisao_pendente"
"RO","1100908","Castanheiras","brasao","nao_encontrado"
"RO","1100908","Castanheiras","bandeira","nao_encontrado"
"RO","1100924","Chupinguaia","brasao","revisao_pendente"
"RO","1100924","Chupinguaia","bandeira","revisao_pendente"
"RO","1100940","Cujubim","brasao","revisao_pendente"
"RO","1100940","Cujubim","bandeira","revisao_pendente"
"RO","1101005","Governador Jorge Teixeira","brasao","nao_encontrado"
"RO","1101005","Governador Jorge Teixeira","bandeira","nao_encontrado"
"RO","1101104","Itapuã do Oeste","brasao","revisao_pendente"
"RO","1101104","Itapuã do Oeste","bandeira","revisao_pendente"
"RO","1101203","Ministro Andreazza","brasao","revisao_pendente"
"RO","1101203","Ministro Andreazza","bandeira","revisao_pendente"
"RO","1101302","Mirante da Serra","brasao","revisao_pendente"
"RO","1101302","Mirante da Serra","bandeira","revisao_pendente"
"RO","1101401","Monte Negro","brasao","revisao_pendente"
"RO","1101401","Monte Negro","bandeira","revisao_pendente"
"RO","1101435","Nova União","brasao","revisao_pendente"
"RO","1101435","Nova União","bandeira","revisao_pendente"
"RO","1101450","Parecis","brasao","nao_encontrado"
"RO","1101450","Parecis","bandeira","revisao_pendente"
"RO","1101468","Pimenteiras do Oeste","brasao","revisao_pendente"
"RO","1101468","Pimenteiras do Oeste","bandeira","revisao_pendente"
"RO","1101476","Primavera de Rondônia","brasao","revisao_pendente"
"RO","1101476","Primavera de Rondônia","bandeira","revisao_pendente"
"RO","1101484","São Felipe D'Oeste","brasao","revisao_pendente"
"RO","1101484","São Felipe D'Oeste","bandeira","revisao_pendente"
"RO","1101492","São Francisco do Guaporé","brasao","revisao_pendente"
"RO","1101492","São Francisco do Guaporé","bandeira","revisao_pendente"
"RO","1101500","Seringueiras","brasao","revisao_pendente"
"RO","1101500","Seringueiras","bandeira","revisao_pendente"
"RO","1101559","Teixeirópolis","brasao","nao_encontrado"
"RO","1101559","Teixeirópolis","bandeira","nao_encontrado"
"RO","1101609","Theobroma","brasao","revisao_pendente"
"RO","1101609","Theobroma","bandeira","revisao_pendente"
"RO","1101708","Urupá","brasao","revisao_pendente"
"RO","1101708","Urupá","bandeira","revisao_pendente"
"RO","1101757","Vale do Anari","brasao","nao_encontrado"
"RO","1101757","Vale do Anari","bandeira","revisao_pendente"
"RO","1101807","Vale do Paraíso","brasao","revisao_pendente"
"RO","1101807","Vale do Paraíso","bandeira","revisao_pendente"
"AM","1300029","Alvarães","brasao","revisao_pendente"
"AM","1300029","Alvarães","bandeira","revisao_pendente"
