"codigo_ibge","municipio","uf","status","arquivo_commons","pagina_origem","motivo","tentativas"
"1100031","Cabixi","RO","nao_encontrado","","","",0
"1100080","Costa Marques","RO","nao_encontrado","","","",0
"1100908","Castanheiras","RO","nao_encontrado","","","",0
"1101005","Governador Jorge Teixeira","RO","nao_encontrado","","","",0
"1101559","Teixeirópolis","RO","nao_encontrado","","","",0
"1300706","Boca do Acre","AM","nao_encontrado","","","",0
"1301159","Careiro da Várzea","AM","nao_encontrado","","","",0
"1301951","Itamarati","AM","nao_encontrado","","","",0
"1302553","Manaquiri","AM","nao_encontrado","File:Bandeira Manaquiri.png","","",0
"1302801","Maraã","AM","nao_encontrado","","","",0
"1303205","Novo Airão","AM","nao_encontrado","File:Bandeira Novo Airão.png","","",0
"1303502","Pauini","AM","nao_encontrado","","","",0
"1303908","São Paulo de Olivença","AM","nao_encontrado","","","",0
"1304104","Tapauá","AM","nao_encontrado","","","",0
"1304260","Uarini","AM","nao_encontrado","","","",0
"1304401","Urucurituba","AM","nao_encontrado","","","",0
"1501253","Bannach","PA","nao_encontrado","","","",0
"1501725","Brasil Novo","PA","nao_encontrado","","","",0
"1501758","Brejo Grande do Araguaia","PA","nao_encontrado","","","",0
"1501907","Bujaru","PA","nao_encontrado","","","",0
"1502608","Colares","PA","nao_encontrado","","","",0
"1502764","Cumaru do Norte","PA","nao_encontrado","","","",0
"1503408","Inhangapi","PA","nao_encontrado","","","",0
"1504109","Magalhães Barata","PA","nao_encontrado","","","",0
"1504307","Maracanã","PA","nao_encontrado","","","",0
"1504406","Marapanim","PA","nao_encontrado","","","",0
"1504422","Marituba","PA","rejeitado","File:Flag of Marituba.svg","https://commons.wikimedia.org/wiki/File:Flag_of_Marituba.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1504455","Medicilândia","PA","nao_encontrado","","","",0
"1504950","Nova Esperança do Piriá","PA","nao_encontrado","","","",0
"1505205","Oeiras do Pará","PA","nao_encontrado","","","",0
"1505494","Palestina do Pará","PA","nao_encontrado","","","",0
"1505551","Pau D'Arco","PA","nao_encontrado","","","",0
"1505601","Peixe-Boi","PA","nao_encontrado","","","",0
"1505635","Piçarra","PA","nao_encontrado","","","",0
"1505908","Porto de Moz","PA","nao_encontrado","File:Brasão Porto de Moz, PA.png","","",0
"1506161","Rio Maria","PA","nao_encontrado","","","",0
"1506583","Santa Maria das Barreiras","PA","nao_encontrado","","","",0
"1506609","Santa Maria do Pará","PA","nao_encontrado","","","",0
"1506906","Santarém Novo","PA","nao_encontrado","","","",0
"1507201","São Domingos do Capim","PA","nao_encontrado","","","",0
"1507409","São Francisco do Pará","PA","nao_encontrado","","","",0
"1507466","São João da Ponta","PA","nao_encontrado","","","",0
"1507474","São João de Pirabas","PA","nao_encontrado","","","",0
"1507755","Sapucaia","PA","nao_encontrado","","","",0
"1507961","Terra Alta","PA","nao_encontrado","","","",0
"1508001","Tomé-Açu","PA","nao_encontrado","","","",0
"1508035","Tracuateua","PA","nao_encontrado","","","",0
"1508357","Vitória do Xingu","PA","nao_encontrado","File:Bandeira vitoria do xingu.gif","","",0
"1600550","Pracuúba","AP","nao_encontrado","","","",0
"1700301","Aguiarnópolis","TO","nao_encontrado","","","",0
"1700350","Aliança do Tocantins","TO","nao_encontrado","","","",0
"1700400","Almas","TO","nao_encontrado","","","",0
"1701101","Aparecida do Rio Negro","TO","nao_encontrado","","","",0
"1701309","Aragominas","TO","nao_encontrado","","","",0
"1702000","Araguaçu","TO","nao_encontrado","","","",0
"1702158","Araguanã","TO","nao_encontrado","","","",0
"1702703","Aurora do Tocantins","TO","nao_encontrado","","","",0
"1703008","Babaçulândia","TO","nao_encontrado","","","",0
"1703057","Bandeirantes do Tocantins","TO","nao_encontrado","","","",0
"1703073","Barra do Ouro","TO","nao_encontrado","","","",0
"1703107","Barrolândia","TO","nao_encontrado","","","",0
"1703206","Bernardo Sayão","TO","nao_encontrado","","","",0
"1703305","Bom Jesus do Tocantins","TO","nao_encontrado","","","",0
"1703602","Brasilândia do Tocantins","TO","nao_encontrado","","","",0
"1703701","Brejinho de Nazaré","TO","nao_encontrado","","","",0
"1703826","Cachoeirinha","TO","nao_encontrado","","","",0
"1703842","Campos Lindos","TO","nao_encontrado","","","",0
"1703867","Cariri do Tocantins","TO","nao_encontrado","","","",0
"1703891","Carrasco Bonito","TO","nao_encontrado","","","",0
"1703909","Caseara","TO","nao_encontrado","","","",0
"1704105","Centenário","TO","nao_encontrado","","","",0
"1704600","Chapada de Areia","TO","nao_encontrado","","","",0
"1705557","Combinado","TO","rejeitado","File:BANDEIRA DE COMBINADO.svg","https://commons.wikimedia.org/wiki/File:BANDEIRA_DE_COMBINADO.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
