"codigo_ibge","municipio","uf","status","arquivo_commons","pagina_origem","motivo","tentativas"
"1100148","Nova Brasilândia D'Oeste","RO","nao_encontrado","","","",0
"1100262","Rio Crespo","RO","nao_encontrado","","","",0
"1100502","Novo Horizonte do Oeste","RO","nao_encontrado","","","",0
"1100908","Castanheiras","RO","nao_encontrado","","","",0
"1101005","Governador Jorge Teixeira","RO","nao_encontrado","","","",0
"1101450","Parecis","RO","nao_encontrado","","","",0
"1101559","Teixeirópolis","RO","nao_encontrado","","","",0
"1101757","Vale do Anari","RO","nao_encontrado","","","",0
"1300086","Anamã","AM","nao_encontrado","","","",0
"1300409","Barcelos","AM","nao_encontrado","","","",0
"1300508","Barreirinha","AM","nao_encontrado","","","",0
"1300631","Beruri","AM","nao_encontrado","","","",0
"1300680","Boa Vista do Ramos","AM","nao_encontrado","","","",0
"1300706","Boca do Acre","AM","nao_encontrado","","","",0
"1300904","Canutama","AM","nao_encontrado","","","",0
"1301100","Careiro","AM","nao_encontrado","","","",0
"1301506","Envira","AM","nao_encontrado","","","",0
"1301951","Itamarati","AM","nao_encontrado","","","",0
"1302207","Juruá","AM","nao_encontrado","","","",0
"1302553","Manaquiri","AM","nao_encontrado","File:Brasão de Manaquiri.jpg","","",0
"1302603","Manaus","AM","rejeitado","File:Brasão de Manaus.svg","https://commons.wikimedia.org/wiki/File:Bras%C3%A3o_de_Manaus.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1302801","Maraã","AM","nao_encontrado","","","",0
"1303502","Pauini","AM","nao_encontrado","","","",0
"1303536","Presidente Figueiredo","AM","nao_encontrado","","","",0
"1303569","Rio Preto da Eva","AM","nao_encontrado","","","",0
"1303700","Santo Antônio do Içá","AM","nao_encontrado","","","",0
"1303908","São Paulo de Olivença","AM","nao_encontrado","","","",0
"1304005","Silves","AM","rejeitado","File:BRASAO SILVES-AM.svg","https://commons.wikimedia.org/wiki/File:BRASAO_SILVES-AM.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1304104","Tapauá","AM","nao_encontrado","","","",0
"1304260","Uarini","AM","nao_encontrado","","","",0
"1304401","Urucurituba","AM","nao_encontrado","","","",0
"1500503","Almeirim","PA","nao_encontrado","","","",0
"1501253","Bannach","PA","nao_encontrado","","","",0
"1501600","Bonito","PA","nao_encontrado","","","",0
"1501725","Brasil Novo","PA","nao_encontrado","","","",0
"1501758","Brejo Grande do Araguaia","PA","nao_encontrado","","","",0
"1501907","Bujaru","PA","nao_encontrado","","","",0
"1502004","Cachoeira do Arari","PA","nao_encontrado","","","",0
"1502608","Colares","PA","nao_encontrado","","","",0
"1502756","Concórdia do Pará","PA","nao_encontrado","","","",0
"1502764","Cumaru do Norte","PA","nao_encontrado","","","",0
"1502954","Eldorado do Carajás","PA","nao_encontrado","","","",0
"1503077","Garrafão do Norte","PA","nao_encontrado","","","",0
"1503200","Igarapé-Açu","PA","nao_encontrado","","","",0
"1503408","Inhangapi","PA","nao_encontrado","","","",0
"1503754","Jacareacanga","PA","nao_encontrado","","","",0
"1503804","Jacundá","PA","nao_encontrado","","","",0
"1504000","Limoeiro do Ajuru","PA","nao_encontrado","","","",0
"1504109","Magalhães Barata","PA","nao_encontrado","","","",0
"1504406","Marapanim","PA","nao_encontrado","","","",0
"1504422","Marituba","PA","nao_encontrado","","","",0
"1504455","Medicilândia","PA","nao_encontrado","","","",0
"1504505","Melgaço","PA","nao_encontrado","","","",0
"1504950","Nova Esperança do Piriá","PA","nao_encontrado","","","",0
"1505007","Nova Timboteua","PA","nao_encontrado","","","",0
"1505031","Novo Progresso","PA","nao_encontrado","","","",0
"1505205","Oeiras do Pará","PA","nao_encontrado","","","",0
"1505403","Ourém","PA","nao_encontrado","","","",0
"1505494","Palestina do Pará","PA","nao_encontrado","","","",0
"1505551","Pau D'Arco","PA","nao_encontrado","","","",0
"1505601","Peixe-Boi","PA","nao_encontrado","","","",0
"1505635","Piçarra","PA","nao_encontrado","","","",0
"1505908","Porto de Moz","PA","nao_encontrado","File:Brasão Porto de Moz, PA.png","","",0
"1506005","Prainha","PA","nao_encontrado","","","",0
"1506161","Rio Maria","PA","nao_encontrado","","","",0
"1506195","Rurópolis","PA","nao_encontrado","","","",0
"1506401","Santa Cruz do Arari","PA","nao_encontrado","","","",0
"1506559","Santa Luzia do Pará","PA","nao_encontrado","","","",0
"1506583","Santa Maria das Barreiras","PA","nao_encontrado","","","",0
"1506906","Santarém Novo","PA","nao_encontrado","","","",0
"1507003","Santo Antônio do Tauá","PA","nao_encontrado","","","",0
"1507201","São Domingos do Capim","PA","nao_encontrado","","","",0
"1507409","São Francisco do Pará","PA","nao_encontrado","","","",0
"1507466","São João da Ponta","PA","nao_encontrado","","","",0
"1507474","São João de Pirabas","PA","nao_encontrado","","","",0
"1507508","São João do Araguaia","PA","nao_encontrado","","","",0
"1507607","São Miguel do Guamá","PA","nao_encontrado","","","",0
"1507706","São Sebastião da Boa Vista","PA","nao_encontrado","","","",0
"1507755","Sapucaia","PA","nao_encontrado","","","",0
