"codigo_ibge","municipio","uf","status_brasao","status_bandeira","falta_brasao","falta_bandeira"
"1100031","Cabixi","RO","revisao_pendente","nao_encontrado",false,true
"1100080","Costa Marques","RO","revisao_pendente","nao_encontrado",false,true
"1100148","Nova Brasilândia D'Oeste","RO","nao_encontrado","revisao_pendente",true,false
"1100262","Rio Crespo","RO","nao_encontrado","revisao_pendente",true,false
"1100502","Novo Horizonte do Oeste","RO","nao_encontrado","revisao_pendente",true,false
"1100908","Castanheiras","RO","nao_encontrado","nao_encontrado",true,true
"1101005","Governador Jorge Teixeira","RO","nao_encontrado","nao_encontrado",true,true
"1101450","Parecis","RO","nao_encontrado","revisao_pendente",true,false
"1101559","Teixeirópolis","RO","nao_encontrado","nao_encontrado",true,true
"1101757","Vale do Anari","RO","nao_encontrado","revisao_pendente",true,false
"1300086","Anamã","AM","nao_encontrado","revisao_pendente",true,false
"1300409","Barcelos","AM","nao_encontrado","revisao_pendente",true,false
"1300508","Barreirinha","AM","nao_encontrado","revisao_pendente",true,false
"1300631","Beruri","AM","nao_encontrado","revisao_pendente",true,false
"1300680","Boa Vista do Ramos","AM","nao_encontrado","revisao_pendente",true,false
"1300706","Boca do Acre","AM","nao_encontrado","nao_encontrado",true,true
"1300904","Canutama","AM","nao_encontrado","revisao_pendente",true,false
"1301100","Careiro","AM","nao_encontrado","revisao_pendente",true,false
"1301159","Careiro da Várzea","AM","revisao_pendente","nao_encontrado",false,true
"1301506","Envira","AM","nao_encontrado","revisao_pendente",true,false
"1301951","Itamarati","AM","nao_encontrado","nao_encontrado",true,true
"1302207","Juruá","AM","nao_encontrado","revisao_pendente",true,false
"1302553","Manaquiri","AM","nao_encontrado","nao_encontrado",true,true
"1302603","Manaus","AM","rejeitado","revisao_pendente",true,false
"1302801","Maraã","AM","nao_encontrado","nao_encontrado",true,true
"1303205","Novo Airão","AM","revisao_pendente","nao_encontrado",false,true
"1303502","Pauini","AM","nao_encontrado","nao_encontrado",true,true
"1303536","Presidente Figueiredo","AM","nao_encontrado","revisao_pendente",true,false
"1303569","Rio Preto da Eva","AM","nao_encontrado","revisao_pendente",true,false
