"codigo_ibge","municipio","uf","tipo","status","arquivo_commons","pagina_origem","motivo","tentativas"
"1100031","Cabixi","RO","bandeira","nao_encontrado","","","",0
"1100080","Costa Marques","RO","bandeira","nao_encontrado","","","",0
"1100148","Nova Brasilândia D'Oeste","RO","brasao","nao_encontrado","","","",0
"1100262","Rio Crespo","RO","brasao","nao_encontrado","","","",0
"1100502","Novo Horizonte do Oeste","RO","brasao","nao_encontrado","","","",0
"1100908","Castanheiras","RO","brasao","nao_encontrado","","","",0
"1100908","Castanheiras","RO","bandeira","nao_encontrado","","","",0
"1101005","Governador Jorge Teixeira","RO","brasao","nao_encontrado","","","",0
"1101005","Governador Jorge Teixeira","RO","bandeira","nao_encontrado","","","",0
"1101450","Parecis","RO","brasao","nao_encontrado","","","",0
"1101559","Teixeirópolis","RO","brasao","nao_encontrado","","","",0
"1101559","Teixeirópolis","RO","bandeira","nao_encontrado","","","",0
"1101757","Vale do Anari","RO","brasao","nao_encontrado","","","",0
"1300086","Anamã","AM","brasao","nao_encontrado","","","",0
"1300409","Barcelos","AM","brasao","nao_encontrado","","","",0
"1300508","Barreirinha","AM","brasao","nao_encontrado","","","",0
"1300631","Beruri","AM","brasao","nao_encontrado","","","",0
"1300680","Boa Vista do Ramos","AM","brasao","nao_encontrado","","","",0
"1300706","Boca do Acre","AM","brasao","nao_encontrado","","","",0
"1300706","Boca do Acre","AM","bandeira","nao_encontrado","","","",0
"1300904","Canutama","AM","brasao","nao_encontrado","","","",0
"1301100","Careiro","AM","brasao","nao_encontrado","","","",0
"1301159","Careiro da Várzea","AM","bandeira","nao_encontrado","","","",0
"1301506","Envira","AM","brasao","nao_encontrado","","","",0
"1301951","Itamarati","AM","brasao","nao_encontrado","","","",0
"1301951","Itamarati","AM","bandeira","nao_encontrado","","","",0
"1302207","Juruá","AM","brasao","nao_encontrado","","","",0
"1302553","Manaquiri","AM","brasao","nao_encontrado","File:Brasão de Manaquiri.jpg","","",0
"1302553","Manaquiri","AM","bandeira","nao_encontrado","File:Bandeira Manaquiri.png","","",0
"1302603","Manaus","AM","brasao","rejeitado","File:Brasão de Manaus.svg","https://commons.wikimedia.org/wiki/File:Bras%C3%A3o_de_Manaus.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1302801","Maraã","AM","brasao","nao_encontrado","","","",0
